,Term/Year Code,College,Major Name,Total,Men,Women,Non-Binary,Caucasian,Asian American,African American,Hispanic,Native American,Unknown,International
288,2005,KV ,History of Art ,30.0,2.0,28.0,0.0,25.0,2.0,2.0,0.0,0.0,0.0,1.0
289,2010,KR ,History of Art ,13.0,0.0,13.0,0.0,11.0,0.0,0.0,1.0,0.0,0.0,1.0
290,2010,KV ,History of Art ,31.0,0.0,31.0,0.0,19.0,4.0,2.0,1.0,0.0,0.0,5.0
291,2015,KR ,History of Art ,5.0,0.0,5.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0
292,2015,KV ,History of Art ,18.0,1.0,17.0,0.0,10.0,1.0,0.0,1.0,0.0,0.0,6.0
293,2005,KL ,Horticulture ,72.0,48.0,24.0,0.0,65.0,2.0,0.0,3.0,0.0,0.0,2.0
294,2010,KL ,Horticulture ,43.0,29.0,14.0,0.0,37.0,0.0,1.0,2.0,1.0,0.0,2.0
295,2015,KL ,Horticulture ,24.0,6.0,18.0,0.0,16.0,3.0,0.0,4.0,0.0,0.0,1.0
296,2005,KL ,Human & Community Development ,31.0,6.0,25.0,0.0,17.0,3.0,4.0,1.0,0.0,0.0,6.0
297,2010,KL ,Human & Community Development ,33.0,7.0,26.0,0.0,20.0,3.0,4.0,1.0,0.0,0.0,5.0
298,2015,KL ,Human & Community Development ,32.0,5.0,27.0,0.0,13.0,1.0,3.0,8.0,0.0,0.0,7.0
299,2005,KL ,Human Development & Family St ,216.0,13.0,202.0,1.0,177.0,12.0,13.0,10.0,0.0,0.0,4.0
300,2010,KL ,Human Development & Family St ,213.0,20.0,191.0,2.0,142.0,15.0,22.0,18.0,0.0,0.0,16.0
301,2015,KL ,Human Development & Family St ,198.0,24.0,174.0,0.0,109.0,16.0,26.0,33.0,0.0,0.0,14.0
302,2005,LE ,Human Factors ,6.0,3.0,3.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0
303,2010,LE ,Human Factors ,6.0,2.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0
304,2005,LG ,Human Res & Industrial Rels ,141.0,51.0,90.0,0.0,82.0,10.0,15.0,5.0,1.0,0.0,28.0
305,2010,LG ,Human Res & Industrial Rels ,178.0,57.0,121.0,0.0,73.0,15.0,15.0,6.0,0.0,0.0,69.0
306,2015,LG ,Human Res & Industrial Rels ,186.0,58.0,128.0,0.0,62.0,17.0,20.0,10.0,1.0,0.0,76.0
307,2010,KN ,Human Resource Education ,89.0,41.0,48.0,0.0,33.0,6.0,15.0,2.0,0.0,0.0,33.0
308,2015,KN ,Human Resource Education ,37.0,16.0,21.0,0.0,8.0,0.0,3.0,1.0,0.0,0.0,25.0
309,2005,KV ,Humanities ,7.0,5.0,2.0,0.0,4.0,0.0,2.0,1.0,0.0,0.0,0.0
310,2005,KV ,Individual Plans of Study ,5.0,2.0,3.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0
311,2010,KV ,Individual Plans of Study ,8.0,6.0,2.0,0.0,5.0,2.0,0.0,1.0,0.0,0.0,0.0
312,2015,KV ,Individual Plans of Study ,7.0,3.0,4.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,1.0
313,2005,KR ,Industrial Design ,98.0,47.0,51.0,0.0,64.0,18.0,2.0,6.0,0.0,0.0,8.0
314,2010,KR ,Industrial Design ,112.0,53.0,59.0,0.0,50.0,24.0,2.0,10.0,0.0,0.0,26.0
315,2015,KR ,Industrial Design ,132.0,53.0,79.0,0.0,48.0,26.0,5.0,11.0,0.0,0.0,42.0
316,2005,KP ,Industrial Engineering ,81.0,54.0,27.0,0.0,50.0,10.0,0.0,2.0,0.0,0.0,19.0
317,2010,KP ,Industrial Engineering ,201.0,145.0,56.0,0.0,68.0,22.0,4.0,7.0,0.0,0.0,100.0
318,2015,KP ,Industrial Engineering ,337.0,247.0,90.0,0.0,110.0,48.0,6.0,5.0,0.0,0.0,168.0
319,2015,KS ,Informatics ,30.0,23.0,7.0,0.0,12.0,2.0,0.0,0.0,0.0,0.0,16.0
320,2010,KM ,Information Sys & Info Tech ,32.0,25.0,7.0,0.0,16.0,4.0,5.0,3.0,0.0,0.0,4.0
321,2015,KM ,Information Sys & Info Tech ,47.0,28.0,19.0,0.0,20.0,22.0,2.0,1.0,0.0,0.0,2.0
322,2005,KR ,Instrumental Music ,122.0,52.0,70.0,0.0,90.0,10.0,3.0,3.0,0.0,0.0,16.0
323,2010,KR ,Instrumental Music ,82.0,34.0,48.0,0.0,54.0,12.0,1.0,4.0,0.0,0.0,11.0
324,2015,KR ,Instrumental Music ,76.0,33.0,43.0,0.0,44.0,8.0,4.0,8.0,0.0,0.0,12.0
325,2005,KV ,Integrative Biology ,251.0,113.0,138.0,0.0,192.0,36.0,0.0,13.0,0.0,0.0,10.0
326,2010,KV ,Integrative Biology ,361.0,152.0,209.0,0.0,260.0,38.0,12.0,26.0,2.0,0.0,23.0
327,2015,KV ,Integrative Biology ,402.0,153.0,249.0,0.0,231.0,76.0,23.0,41.0,0.0,0.0,31.0
328,2005,KV ,Interdisciplinary ,38.0,18.0,20.0,0.0,27.0,2.0,5.0,3.0,0.0,0.0,1.0
329,2010,KV ,Interdisciplinary ,16.0,7.0,9.0,0.0,11.0,3.0,2.0,0.0,0.0,0.0,0.0
330,2015,KV ,Interdisciplinary ,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
331,2015,KY ,Interdisciplinary Health Sci ,200.0,40.0,160.0,0.0,96.0,26.0,19.0,39.0,1.0,0.0,19.0
332,2005,KV ,International Studies ,317.0,92.0,225.0,0.0,202.0,33.0,16.0,38.0,3.0,0.0,25.0
333,2010,KV ,International Studies ,132.0,33.0,98.0,1.0,69.0,22.0,4.0,16.0,1.0,0.0,20.0
334,2005,KL ,"Intl, Resource, Consumer Econ ",174.0,105.0,69.0,0.0,131.0,21.0,8.0,9.0,0.0,0.0,5.0
335,2005,KV ,Italian ,10.0,2.0,8.0,0.0,7.0,1.0,0.0,1.0,0.0,0.0,1.0
336,2010,KV ,Italian ,7.0,2.0,5.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,1.0
337,2015,KV ,Italian ,9.0,5.0,4.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,4.0
338,2010,KR ,Jazz Performance ,33.0,27.0,6.0,0.0,28.0,1.0,3.0,1.0,0.0,0.0,0.0
339,2015,KR ,Jazz Performance ,31.0,30.0,1.0,0.0,20.0,1.0,6.0,0.0,0.0,0.0,4.0
340,2005,KT ,Journalism ,31.0,11.0,20.0,0.0,24.0,1.0,2.0,0.0,0.0,0.0,4.0
341,2010,KT ,Journalism ,20.0,7.0,13.0,0.0,16.0,1.0,1.0,0.0,0.0,0.0,2.0
342,2015,KT ,Journalism ,141.0,53.0,88.0,0.0,73.0,11.0,22.0,20.0,0.0,0.0,15.0
343,2005,KY ,Kinesiology ,658.0,261.0,397.0,0.0,535.0,24.0,36.0,35.0,4.0,0.0,24.0
344,2010,KY ,Kinesiology ,652.0,279.0,372.0,1.0,495.0,32.0,31.0,47.0,1.0,0.0,46.0
345,2015,KY ,Kinesiology ,621.0,265.0,356.0,0.0,406.0,68.0,35.0,62.0,2.0,0.0,48.0
346,2010,KV ,LAS - Undeclared ,95.0,34.0,61.0,0.0,2.0,1.0,64.0,24.0,0.0,0.0,4.0
347,2015,KV ,LAS - Undeclared ,135.0,40.0,95.0,0.0,2.0,8.0,71.0,48.0,0.0,0.0,6.0
348,2005,LG ,Labor & Industrial Relns ,141.0,51.0,90.0,0.0,82.0,10.0,15.0,5.0,1.0,0.0,28.0
349,2005,KR ,Landscape Architecture ,158.0,93.0,65.0,0.0,123.0,6.0,2.0,7.0,0.0,0.0,20.0
350,2010,KR ,Landscape Architecture ,127.0,64.0,63.0,0.0,84.0,7.0,2.0,7.0,0.0,0.0,27.0
351,2015,KR ,Landscape Architecture ,127.0,41.0,86.0,0.0,40.0,4.0,1.0,8.0,0.0,0.0,74.0
352,2005,KV ,Latin American Studies ,14.0,5.0,9.0,0.0,6.0,0.0,3.0,5.0,0.0,0.0,0.0
353,2010,KV ,Latin American Studies ,11.0,6.0,5.0,0.0,2.0,0.0,0.0,8.0,0.0,0.0,1.0
