Term/Year Code,College,Dept,Degree,Major code,Major Name,Total,Men,Women,Unknown,Caucasian,Asian American,African American,Hispanic,Native American
2015 ,KN ,760 ,PHD ,5399 ,"Educ Policy, Orgzn & Leadrshp ",6,2,4,0,1,0,3,0,0
2015 ,KN ,760 ,PHD ,5399 ,"Educ Policy, Orgzn & Leadrshp ",10,4,6,0,6,0,2,1,0
2015 ,KN ,760 ,PHD ,5399 ,"Educ Policy, Orgzn & Leadrshp ",4,1,3,0,1,0,2,0,0
2015 ,KN ,760 ,PHD ,5399 ,"Educ Policy, Orgzn & Leadrshp ",2,0,2,0,2,0,0,0,0
2015 ,KN ,760 ,PHD ,5399 ,"Educ Policy, Orgzn & Leadrshp ",4,0,4,0,2,0,1,0,0
 ,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,
2015 ,KP ,227 ,BS ,5163 ,Agricultural & Biological Engr ,31,22,9,0,17,8,0,3,0
2015 ,KP ,227 ,BS ,5163 ,Agricultural & Biological Engr ,17,14,3,0,15,0,0,0,0
2015 ,KP ,227 ,BS ,5163 ,Agricultural & Biological Engr ,15,11,4,0,8,1,0,0,0
2015 ,KP ,227 ,MENGR ,1211 ,Engineering ,20,14,6,0,6,1,1,1,0
2015 ,KP ,227 ,MS ,5163 ,Agricultural & Biological Engr ,29,20,9,0,6,0,0,0,0
2015 ,KP ,227 ,NDEG ,0067 ,Nondegree ,218,172,46,0,37,6,1,2,0
2015 ,KP ,227 ,PHD ,5163 ,Agricultural & Biological Engr ,34,21,13,0,8,0,1,2,0
2015 ,KP ,244 ,BS ,0121 ,Engineering Physics ,248,218,30,0,136,37,2,13,1
2015 ,KP ,244 ,MS ,0240 ,Physics ,3,3,0,0,1,0,0,0,0
2015 ,KP ,244 ,PHD ,0240 ,Physics ,258,200,58,0,91,23,1,10,0
2015 ,KP ,251 ,BS ,0106 ,Civil Engineering ,730,536,194,0,375,106,14,61,0
2015 ,KP ,251 ,MS ,0106 ,Civil Engineering ,397,290,107,0,75,21,6,11,0
2015 ,KP ,251 ,MS ,0106 ,Civil Engineering ,2,2,0,0,0,0,0,0,0
2015 ,KP ,251 ,MS ,0231 ,Environ Engr in Civil Engr ,55,23,32,0,19,5,1,3,0
2015 ,KP ,251 ,PHD ,0106 ,Civil Engineering ,190,148,42,0,31,8,1,7,0
2015 ,KP ,251 ,PHD ,0231 ,Environ Engr in Civil Engr ,45,23,22,0,17,2,0,4,0
2015 ,KP ,251 ,PHD ,0232 ,Environ Science in Civil Engr ,1,0,1,0,0,0,0,0,0
2015 ,KP ,343 ,BS ,0408 ,Bioengineering ,249,130,119,0,127,85,2,11,0
2015 ,KP ,343 ,MENGR ,5398 ,Bioinstrumentation ,12,7,5,0,2,2,1,0,0
2015 ,KP ,343 ,MS ,0408 ,Bioengineering ,12,7,5,0,3,0,0,0,0
2015 ,KP ,343 ,PHD ,0408 ,Bioengineering ,57,30,27,0,19,9,0,5,1
2015 ,KP ,422 ,BS ,0124 ,General Engineering ,230,172,58,0,140,34,2,15,0
2015 ,KP ,422 ,BS ,0127 ,Industrial Engineering ,277,201,76,0,108,46,6,5,0
2015 ,KP ,422 ,MS ,0127 ,Industrial Engineering ,30,21,9,0,1,1,0,0,0
2015 ,KP ,422 ,MS ,3846 ,Systems & Entrepreneurial Engr ,8,4,4,0,3,0,0,0,0
2015 ,KP ,422 ,PHD ,0127 ,Industrial Engineering ,30,25,5,0,1,1,0,0,0
2015 ,KP ,422 ,PHD ,3846 ,Systems & Entrepreneurial Engr ,20,17,3,0,6,0,1,0,0
